Quarter Ended,12/31/2020,9/30/2020,6/30/2020,3/31/2020,12/31/2019,9/30/2019
Market Capitalization,20088,12455,11103,7799,12946,10769
Market Cap Growth,55.18%,15.65%,-4.98%,-33.36%,28.00%,-34.89%
Enterprise Value,3537,-2124,-1966,1951,6748,4731
PE Ratio,16.87,11.68,12.45,7.95,11.39,9.44
PS Ratio,5.32,3.71,3.69,2.58,4.03,3.51
PB Ratio,2.44,1.6,1.52,1.11,2,1.83
Debt / Equity Ratio,0.14,0.14,0.15,0.53,0.09,0.15
Buyback Yield / Dilution,-0.44%,-0.43%,0.99%,1.92%,3.16%,3.15%
Total Shareholder Return,-0.44%,-0.43%,0.99%,1.92%,3.16%,3.15%
